Symbol,market_cap,purchase_price,market_close,total_gain%,PS_TTM,50d_ma,200d_ma,above_50dma,above_200dma,overall_%_gain
ACUIF,771.55M,11.17,14.55,30.26,0.0,19.24,9.26,False,True,8.58
ADSK,58.95B,299.41,268.11,-10.45,15.55,288.68,268.57,False,False,
AMD,98.18B,92.29,81.05,-12.18,10.06,86.83,85.94,False,False,
CHWY,35.32B,92.34,85.6,-7.3,5.47,101.94,79.82,False,True,
CLPT,394.60M,22.42,20.25,-9.68,30.76,23.5,12.49,False,True,
DMTK,1.54B,54.79,53.55,-2.26,261.66,57.04,26.45,False,True,
DOCU,40.23B,225.9,210.34,-6.89,27.69,238.23,227.61,False,False,
ENGMF,670.83M,4.99,5.82,16.63,0.0,5.53,5.15,True,True,
ETSY,27.87B,177.91,221.14,24.3,16.15,214.88,163.94,True,True,
FLGT,2.76B,53.76,95.6,77.83,6.55,115.37,61.32,False,True,
IMMR,333.68M,12.15,11.09,-8.72,10.96,12.57,9.52,False,True,
INMD,2.79B,68.74,73.1,6.34,13.55,66.94,47.86,True,True,
JMIA,4.27B,37.11,47.92,29.13,0.0,53.49,30.04,False,True,
KOPN,988.10M,6.84,10.86,58.77,24.62,8.24,3.37,True,True,
LMND,6.41B,129.89,104.54,-19.52,67.86,135.28,91.88,False,True,
MGNI,5.69B,31.3,49.21,57.22,25.66,47.71,22.93,True,True,
MMEDF,907.61M,3.13,2.8,-10.54,0.0,3.4,3.29,False,False,
MWK,968.51M,17.39,33.96,95.28,5.22,36.16,16.95,False,True,
NET,23.56B,77.53,76.3,-1.59,54.66,79.12,64.68,False,True,
NNDM,2.81B,10.98,11.31,3.01,826.48,12.84,6.78,False,True,
NNOX,2.03B,47.38,43.97,-7.2,0.0,59.1,44.9,False,False,
NVCR,14.16B,174.14,138.29,-20.59,28.65,163.86,138.14,False,True,
OM,2.18B,59.25,51.11,-13.74,43.73,52.35,51.83,False,False,
PINS,45.10B,67.14,71.75,6.87,26.64,76.78,60.68,False,True,
PSNL,1.18B,36.99,27.02,-26.95,15.01,36.25,30.99,False,False,
RDFN,7.70B,70.87,74.61,5.28,8.69,79.89,60.94,False,True,
ROKU,46.23B,338.74,359.96,6.26,25.99,414.38,294.12,False,True,
SE,122.10B,196.75,234.99,19.44,27.9,244.29,192.66,False,True,
SDGR,5.66B,106.65,80.87,-24.17,52.38,96.32,72.04,False,True,
SHOP,138.99B,1163.0,1140.63,-1.92,47.45,1261.84,1099.19,False,True,
SKLZ,10.84B,20.0,29.32,46.6,55.01,32.32,19.51,False,True,
SMLR,717.83M,91.1,107.0,17.45,18.6,100.55,76.1,True,True,
SQ,110.07B,221.04,242.11,9.53,11.59,238.51,200.77,True,True,
TDOC,30.23B,203.57,197.95,-2.76,27.63,253.01,218.4,False,False,
TMDX,983.76M,30.0,36.22,20.73,38.37,30.08,19.36,True,True,
TWST,6.88B,196.75,141.4,-28.13,68.04,155.93,118.89,False,True,
U,29.37B,111.0,105.7,-4.77,38.03,124.66,122.07,False,False,
ZG,37.09B,136.75,156.83,14.68,11.11,162.71,124.01,False,True,
